element,sp_num,obs_wl_vac(A),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref
V,1,9457.042,5600,,,1.95532863,3.26635156,3d4.(3F2).4s,b 4F,9/2,3d3.(4F).4s.4p.(3P*),z 2G*,9/2,,,L15916
Fe,2,9457.1193,4,6.e+05,E,12.1870155,13.4980302,3d6.(3H).5s,e 4H,11/2,3d6.(3H).5p,4H*,9/2,,T6892c83,L18349c139
S,1,9458.02,100,,,8.4172892,9.728177,3s2.3p3.(4S*).3d,5D*,3,3s2.3p3.(2D*).4p,3F,4,,,L7444
Fe,2,9459.3077,50,1.6e+06,E,12.3455088,13.6562198,3d6.(3F2).5s,f 4F,9/2,3d6.(3F2).5p,4F*,7/2,,T6892c83,L18349c139
Ca,1,9459.39,10,,,,,,,,,,,,,L6097
O,2,9460.50,9,3.77e+06,C+,28.509803,29.820351,2s2.2p2.(1D).3p,2D*,5/2,2s2.2p2.(3P).4s,2P,3/2,,T5723LS,L10621
Ne,1,9461.8060,2800,1.31e+06,C+,18.72638145,20.03674670,2s2.2p5.(2P*<1/2>).3p,2[1/2],1,2s2.2p5.(2P*<3/2>).3d,2[3/2]*,2,,T6976,L9097
N,1,9463.28,250,3.73e+06,B,10.6899808,12.0001429,2s2.2p2.(3P).3s,2P,3/2,2s2.2p2.(3P).3p,2D*,3/2,,T7370,L3513
Fe,1,9465.624,251,,,4.95563019,6.26546671,3d6.(5D).4s.4p.(1P*),x 5D*,3,3d6.(5D).4s (6D).4d,f 5D,3,,,L11631
Fe,2,9467.469,12,4.0e+04,D,6.0877427,7.3973238,3d6.(3P1).4s,c 4P,1/2,3d6.(3P2).4p,z 4S*,3/2,,T6892c83,L18349c139
Mn,2,9467.74,50,3.3e+07,C,9.4692672,10.7788119,3d5.(6S).5s,e 5S,2,3d4.(5D).4s.4p.(3P*),w 5P*,2,,c88,L562
Fe,2,9468.0749,6,,,13.8534803,15.1629778,3d6.(3H).5p,4H*,7/2,3d6.(3H).6s,4H,7/2,,,L18349c139
Na,1,9468.54,6*,9.57e+05,B+,3.61697081,4.9264080,2p6.3d,2D,5/2,2p6.8f,2F*,7/2,,c30,L6096
Na,1,9468.54,6*,6.38e+04,B+,3.61697081,4.9264080,2p6.3d,2D,5/2,2p6.8f,2F*,5/2,,c30,L6096
V,1,9468.92,9800h,,,1.94517098,3.25452024,3d4.(3F2).4s,b 4F,5/2,3d4.(5D).4p,y 4D*,3/2,,,L14162
Ar,2,9469.41,0,,,25.86213691,27.1714508,3s2.3p4.(1D<2>).4f,2[1]*,3/2,3s2.3p4.(1D<2>).5g,2[2],5/2,,,L14821
Fe,1,9470.388,8,,,4.96581946,6.27499663,3d5.(6S).4s2.4p,y 7P*,2,3d6.(5D).4s (6D).4d,e 7P,3,,,L11631
V,1,9470.52,2600h,,,3.2492295,4.5584081,3d4.(1D2).4s,2D,3/2,3d4.(3F2).4p,x 2F*,5/2,,,L14162
Fe,2,9470.626,1.7,,,12.7632131,14.0723585,3d6.(5D<4>).4f,2[3]*,7/2,3d6.(5D<3>).5g,2[3],7/2,,,L18349c139
Ar,2,9470.88,0.5,,,23.070289982,24.37939735,3s2.3p4.(3P).4d,4F,5/2,3s2.3p4.(3P<0>).4f,2[3]*,5/2,,,L14821
Fe,1,9472.547,10,,,5.02027939,6.32915863,3d6.(5D).4s.4p.(1P*),x 5D*,0,3d6.(5D).4s (6D).4d,f 7D,1,,,L11631
Fe,1,9474.708,47,,,5.03306811,6.34164892,3d6.(5D).4s.4p.(1P*),x 5F*,4,3d6.(5D).4s (6D).4d,e 7F,3,,,L11631
Fe,2,9475.4474,5,,,12.7632131,14.0716915,3d6.(5D<4>).4f,2[3]*,7/2,3d6.(5D<3>).5g,2[4],9/2,,,L18349c139
Fe,2,9475.712,2.3,,,13.8545352,15.1629778,3d6.(3F2).5p,2G*,7/2,3d6.(3H).6s,4H,7/2,,,L18349c139
Ti,1,9476.013,15,,,3.5454909,4.8538921,3d3.(4F).4p,y 5F*,1,3d3.(4F).5s,f 5F,2,,,L10989
Fe,1,9476.837,30,,,5.08559017,6.39387714,3d6.(5D).4s.4p.(1P*),x 5F*,2,3d6.(5D).4s (6D).4d,e 7S,3,,,L11631
Ar,2,9477.8488,35,,,18.454114013,19.762261075,3s2.3p4.(1D).4s,2D,5/2,3s2.3p4.(3P).4p,2D*,3/2,,,L11520
Fe,1,9478.057,11,,,4.99127081,6.29938878,3d6.(5D).4s.4p.(1P*),x 5F*,5,3d6.(5D).4s (6D).4d,f 7D,4,,,L11631
V,1,9478.822,14000,,,2.57485536,3.8828677,3d4.(3D).4s,b 4D,7/2,3d3.(2G).4s.4p.(3P*),x 4F*,9/2,,,L15916
Be,2,9479.026,10,1.81e+07,A,14.724427,16.032413,1s2.4p,2P*,1/2,1s2.5d,2D,3/2,,T5118LS,L12158
Ti,1,9479.207,5,,,1.42975614,2.7377185,3d3.(4F).4s,b 3F,2,3d2.(3F).4s.4p.(3P*),z 1D*,2,,,L10989
Fe,2,9479.343,1.7,,,12.7644423,14.0723830,3d6.(5D<4>).4f,2[3]*,5/2,3d6.(5D<3>).5g,2[3],5/2,,,L18349c139
Be,2,9479.629,210,2.17e+07,A,14.724527,16.032428,1s2.4p,2P*,3/2,1s2.5d,2D,5/2,,T5118LS,L12158
S,1,9480.46,70,,,8.4170151,9.724801,3s2.3p3.(4S*).3d,5D*,2,3s2.3p3.(2D*).4p,3F,3,,,L7444
Ne,2,9480.51,40w,,,34.83299812,36.14077610,2s2.2p4.(3P).3d,4F,3/2,2s2.2p4.(3P).4p,4D*,5/2,,,L1406
Ti,1,9481.100,4,,,3.0617764,4.3694757,3d2.(3F).4s.4p.(3P*),z 1G*,4,3d4,3F2,4,,,L10989
S,1,9482.43,20,,,8.4172892,9.724801,3s2.3p3.(4S*).3d,5D*,3,3s2.3p3.(2D*).4p,3F,3,,,L7444
V,1,9482.905,12000,,,3.28313703&dagger;,4.59058673,3d4.(5D).4p,y 4D*,7/2,3d5,e 4F,7/2,,,L15916
Ar,2,9483.478,7,,,23.484470418,24.791840619,3s2.3p4.(3P).5p,4D*,7/2,3s2.3p4.(3P).5d,4D,5/2,,,L11520
O,1,9483.76,120,,,14.0987942,15.4061252,2s2.2p3.(2D*).3p,3F,4,2s2.2p3.(2D*<3/2>).3d,1G*,4,,,L3760
Fe,1,9483.965,8,,,4.59311043,5.90041395,3d7.(2F).4s,d 3F,4,3d6.(3G).4s.4p.(3P*),w 5G*,4,,,L11631
Fe,2,9484.1943,5bl(Fe II)*,,,12.7644423,14.0717141,3d6.(5D<4>).4f,2[3]*,5/2,3d6.(5D<3>).5g,2[4],7/2,,,L18349c148
Fe,2,9484.1943,5bl(Fe II)*,,,11.9466897,13.2539571,3d5.(4G).4s.4p.(3P*),t 2F*,7/2,3d6.(3F2).4d,2G,7/2,,,L18349c148
P,1,9484.44,100,,,,,,,,,,,,,L5148
V,1,9485.318,8900,,,2.58240252,3.8895191,3d3.(4F).4s.4p.(3P*),z 4D*,5/2,3d4.(3F1).4s,4F,7/2,,,L15916
O,1,9485.48,120bl,2.34e+07,B,12.7284690,14.0355624,2s2.2p3.(2D*).3s,1D*,2,2s2.2p3.(2D*).3p,1P,1,,T5713,L3760
Ti,1,9486.802,13,,,3.9214575,5.22837020,3d3.(4F).4p,w 3G*,5,3d2.4s.(4F).4d,3G,5,,,L10989
Fe,1,9488.556,34,,,3.30092244,4.60759327,3d7.(2D2).4s,a 3D,2,3d7.(4F).4p,y 3F*,3,,,L11631
Ne,1,9489.2849,5000,1.82e+06,C+,18.38162323,19.68819383,2s2.2p5.(2P*<3/2>).3p,2[1/2],1,2s2.2p5.(2P*<3/2>).4s,2[3/2]*,1,,T6976,L9097
Cl,1,9489.567,500,3.9e+06,E,9.0294019,10.3359337,3s2.3p4.(3P).4s,4P,1/2,3s2.3p4.(3P).4p,4P*,1/2,,"T1619CA,LS",L298
Cr,2,9489.718,4,,,13.0435663,14.35007668,3d3.(4F).4s.4p.(1P*),r 4F*,9/2,3d4.(5D<3>).5g,2[6],11/2,,,L18847
O,1,9490.03,235,,,14.0996582,15.4061252,2s2.2p3.(2D*).3p,3F,3,2s2.2p3.(2D*<3/2>).3d,1G*,4,,,L3760
Ne,2,9490.636,22,,,39.3998727,40.706258,2s2.2p4.(1D).4p,2D*,5/2,2s2.2p4.(1D).4d,2F,7/2,,,L1406
Ne,2,9491.123,22,,,39.3999177,40.706235,2s2.2p4.(1D).4p,2D*,3/2,2s2.2p4.(1D).4d,2F,5/2,,,L1406
O,2,9493.39,5,,,31.673760,32.979766,2s2.2p2.(3P).4d,2F,7/2,2s2.2p2.(3P).5f F,2[4]*,9/2,,,L10621
Ar,2,9493.58,0.5,,,25.30939846,26.6153804,3s2.3p4.(1D).5p,2D*,5/2,3s2.3p4.(1D).5d,2D,5/2,,,L14821
P,1,9494.72,100,,,,,,,,,,,,,L5148
O,1,9495.31,140,,,14.0996582,15.4053994,2s2.2p3.(2D*).3p,3F,3,2s2.2p3.(2D*).3d,3G*,3,,,L3760
Fe,2,9496.1498,210,7.3e+06,B+,11.3033835,12.6090094,3d6.(5D).5p,w 6P*,7/2,3d6.(5D).6s,6D,9/2,,T6892c83,L18349c139
P,1,9496.16,1250,,,,,,,,,,,,,L5148
Fe,1,9496.765,6,,,5.10547240,6.41101300,3d8,3P,1,3d7.(2P).4p,y 1D*,2,,,L11631
Fe,2,9498.2715,16,1.33e+06,C+,11.4405332,12.7458673,3d6.(3P1).4p,4P*,5/2,3d6.(5D).6s,4D,5/2,,T6892c83,L18349c139
Fe,1,9498.490,30,,,5.06378173,6.36908625,3d6.(5D).4s.4p.(1P*),x 5F*,3,3d6.(5D).4s (6D).4d,e 5G,2,,,L11631
Fe,2,9500.0770,90,,,11.579555,12.8846409,3d6.(3F1).4p,u 4F*,5/2,3d6.(3H).4d,4G,7/2,,,L18349c139
Fe,2,9500.4136,40,,,5.82322475,7.12826481,3d6.(5D).4p,z 4P*,5/2,3d5.4s2,d 4P,3/2,,,L18349c139
O,1,9500.58,265,,,14.0987942,15.4038114,2s2.2p3.(2D*).3p,3F,4,2s2.2p3.(2D*).3d,3G*,5,,,L3760
Cr,2,9500.897,2*,,,13.04397011,14.34895103,3d3.(4F).4s.4p.(1P*),p 4D*,7/2,3d4.(5D<3>).5g,2[3],5/2,,,L18847c153
Cr,2,9500.897,2*,,,13.07041098,14.37538930,3d4.(5D<2>).4f,2[4]*,7/2,3d4.(5D<4>).5g,2[3],7/2,,,L18847c153
Fe,2,9501.246,5,2.6e+05,D+,11.4088681,12.7137971,3d5.(4D).4s.4p.(3P*),6F*,5/2,3d6.(5D).6s,6D,3/2,,T6892c83,L18349c145
S,1,9501.77,25,,,8.4167336,9.721587,3s2.3p3.(4S*).3d,5D*,1,3s2.3p3.(2D*).4p,3F,2,,,L7444
O,1,9501.91,160,,,14.0987942,15.4036294,2s2.2p3.(2D*).3p,3F,4,2s2.2p3.(2D*).3d,3G*,4,,,L3760
Cr,2,9502.0954,18,,,10.50476915,11.80957832,3d4.(5D).5s,e 4D,7/2,3d4.(5D).5p,4D*,7/2,,,L18847
Mn,2,9502.962,60,3.3e+07,C,9.4692672,10.7739579,3d5.(6S).5s,e 5S,2,3d4.(5D).4s.4p.(3P*),w 5P*,3,,c88,L562
Ar,2,9503.07,0,,,23.619908872,24.92458926,3s2.3p4.(3P).5p,2P*,3/2,3s2.3p4.(3P).5d,4P,1/2,,,L14821
Fe,1,9503.134,52,,,5.33417031,6.63883718,3d6.(3H).4s.4p.(3P*),y 5G*,4,3d7.(4F).4d,h 5D,3,,,L11631
S,1,9503.82,20,,,8.4170151,9.721587,3s2.3p3.(4S*).3d,5D*,2,3s2.3p3.(2D*).4p,3F,2,,,L7444
Fe,2,9503.9146,7,,,13.8421908,15.1467502,3d5.(2H).4s.4p.(3P*),4I*,9/2,3d6.(3H).6s,4H,9/2,,,L18349c139
Fe,1,9504.194,35,,,5.08559017,6.39011087,3d6.(5D).4s.4p.(1P*),x 5F*,2,3d6.(5D).4s (6D).4d,e 7G,2,,,L11631
Mg,1,9505.061,8,,,5.9459158,7.2503182,3s.3d,3D,3,3s.7p,3P*,2,,,L6095
Mg,1,9505.715,7,,,5.9459136,7.2502265,3s.3d,3D,2,3s.7p,3P*,1,,,L6095
Fe,1,9505.807,38,,,5.91320801,7.21750752,3d6.(3G).4s.4p.(3P*),w 5G*,3,3d6.4s.(4D).4d,5P,2,,,L11631
Mg,1,9506.040,5,,,5.9459174,7.2501854,3s.3d,3D,1,3s.7p,3P*,0,,,L6095
Cr,2,9506.5075,3,,,10.45436475,11.75856812,3d4.(5D).5s,e 4D,3/2,3d4.(5D).5p,4D*,1/2,,,L18847
Fe,2,9506.717,1.2bl(Fe I),,,11.6530493,12.9572238,3d5.(4G).4s.4p.(3P*),w 4G*,5/2,3d6.(3H).4d,4F,5/2,,,L18349c148
Fe,1,9506.717,4,,,5.97150625,7.2756807,3d5.(6S).4s2.4p,v 5P*,2,3d6.4s.(4D).4d,3D,3,,,L11631
Ar,2,9506.77,0.5*,,,25.88831364,27.1924834,3s2.3p4.(1D<2>).4f,2[5]*,11/2,3s2.3p4.(1D<2>).5g,2[5],11/2,,,L14821
Ar,2,9506.77,0.5*,,,25.88831410,27.19247975,3s2.3p4.(1D<2>).4f,2[5]*,9/2,3s2.3p4.(1D<2>).5g,2[5],9/2,,,L14821
F,1,9507.91,25,8.2e+06,C,14.583383,15.887395,2s2.2p4.(3P).3p,2D*,5/2,2s2.2p4.(3P).3d,2D,5/2,,T7043,L7481
S,2,9508.105,8,,,19.850380,21.154364,3s2.3p2.(3P<0>).4f,2[3]*,5/2,3s2.3p2.(3P<0>).5g,2[4],7/2,,,L5883
O,1,9508.20,235,,,14.0996582,15.4036294,2s2.2p3.(2D*).3p,3F,3,2s2.2p3.(2D*).3d,3G*,4,,,L3760
Ti,1,9508.610,140,,,3.5826547,4.8865701,3d3.(4F).4p,y 5F*,5,3d3.(4F).5s,f 5F,5,,,L10989
Ne,1,9509.20,4,,,20.04820289,21.352038,2s2.2p5.(2P*<3/2>).3d,2[5/2]*,2,2s2.2p5.(2P*<3/2>).8f,2[7/2],3,,,L6099
Fe,1,9509.763,83,,,4.65203107,5.95578840,3d7.(4F).4p,y 3F*,2,3d7.(4F).5s,e 5F,2,,,L11631
Fe,1,9509.980,14,,,5.94709859,7.2508259,3d5.(6S).4s2.4p,v 5P*,3,3d6.4s.(4D).4d,5P,3,,,L11631
Fe,2,9510.3136,160,1.7e+07,E,12.1870155,13.4906971,3d6.(3H).5s,e 4H,11/2,3d5.(4G).4s.(5G).4p,4H*,11/2,,T6892c83,L18349c139
Fe,2,9510.5857,4,2.6e+04,D,12.1646572,13.4683012,3d6.(3P2).5s,4P,3/2,3d5.(4G).4s.4p.(1P*),4G*,5/2,,T6892c83,L18349c139
Ne,1,9511.01,7,,,20.04842449,21.352011,2s2.2p5.(2P*<3/2>).3d,2[5/2]*,3,2s2.2p5.(2P*<3/2>).8f,2[7/2],4,,,L6099
Ti,1,9511.024,97,,,3.5693042,4.8728897,3d3.(4F).4p,y 5F*,4,3d3.(4F).5s,f 5F,4,,,L10989
Ar,2,9511.048,3,,,22.26659804,23.570177223,3s2.3p4.(1S).3d,2D,5/2,3s2.3p4.(3P).5p,4D*,3/2,,,L14821
V,1,9511.72,3600h,,,3.92097610,5.22445384,3d4.(3P1).4s,4P,5/2,3d3.(4P).4s.4p.(1P*),r 4D*,5/2,,,L14162
Fe,2,9512.6210,50,2.4e+06,C+,9.9045425,11.2079078,3d6.(5D).5s,e 4D,5/2,3d6.(5D).5p,4D*,7/2,,T6892c83,L18349c139
Ti,1,9513.314,60,,,3.5586909,4.8619612,3d3.(4F).4p,y 5F*,3,3d3.(4F).5s,f 5F,3,,,L10989
V,1,9513.98,4900h,,,2.70799108,4.01117857,3d3.(4F).4s.4p.(3P*),z 4G*,5/2,3d5,4G,5/2,,,L14162
Ti,1,9514.068,31,,,3.5454909,4.8486575,3d3.(4F).4p,y 5F*,1,3d3.(4F).5s,f 5F,1,,,L10989
Fe,2,9514.2923,6,,,12.7917192,14.0948520,3d6.(3G).5s,f 4G,5/2,3d6.(5D<2>).5f,2[1]*,3/2,,,L18349c145
Ti,1,9514.355,39,,,3.5507637,4.8538921,3d3.(4F).4p,y 5F*,2,3d3.(4F).5s,f 5F,2,,,L10989
Ne,2,9515.326,22,,,37.5623819,38.8653769,2s2.2p4.(3P).4d,4F,3/2,2s2.2p4.(3P<1>).5f,2[3]*,5/2,,,L1406
Fe,1,9515.872,850,,,5.03306811,6.33598817,3d6.(5D).4s.4p.(1P*),x 5F*,4,3d6.(5D).4s (6D).4d,f 5F,5,,,L11631
Fe,1,9516.256,23,,,5.06378173,6.36664959,3d6.(5D).4s.4p.(1P*),x 5F*,3,3d6.(5D).4s (4D).5s,g 5D,4,,,L11631
Ne,2,9518.481,22,,,36.1788195,37.4813807,2s2.2p4.(3P).4p,4D*,3/2,2s2.2p4.(3P).4d,2D,5/2,,,L1406
Fe,2,9518.4977,40bl(Ne),,,10.2880497,11.5906134,3d6.(5D).4d,e 6F,9/2,3d6.(3F1).4p,u 4F*,9/2,,,L18349c148
Fe,2,9520.1494,7,,,12.8448160,14.1471506,3d6.(3H).4d,4G,11/2,3d6.(3G).5p,4H*,13/2,,,L18349c139
Ar,2,9520.37,0,,,24.34003126,25.6423384,3s2.3p4.(3P<1>).4f,2[3]*,5/2,3s2.3p4.(3P<0>).5g,2[4],7/2,,,L14821
Cr,1,9521.300,2,,,4.5318872,5.83406495,3d5.(2F2).4s,d 3F,3,3d5.(4G).4p,y 3G*,4,,,L14866
Fe,2,9522.662,9,,,9.4122703,10.7142644,3d6.(3D).4p,w 2F*,5/2,3d6.(5D).4d,e 4F,7/2,,,L18349c145
Cr,1,9522.694,6,,,3.39495688,4.69694311,3d4.(5D).4s.4p.(3P*),z 7D*,2,3d5.(6S).5s,e 5S,2,,,L14866
Ti,2,9522.83,0,,,8.96879449,10.2707693,3d2.(3F).5p,4D*,3/2,3d2.(3F).6s,4F,3/2,,,L5432
S,2,9523.746,9,,,19.951655,21.253498,3s2.3p2.(3P<2>).4f,2[5]*,9/2,3s2.3p2.(3P<2>).5g,2[6],11/2,,,L5883
P,1,9524.39,180,,,,,,,,,,,,,L5148
O,1,9524.57,210,,,14.0987942,15.4005245,2s2.2p3.(2D*).3p,3F,4,2s2.2p3.(2D*<5/2>).3d,3F*,4,,,L3760
O,1,9525.97,120,,,14.0996582,15.4011962,2s2.2p3.(2D*).3p,3F,3,2s2.2p3.(2D*<5/2>).3d,3F*,3,,,L3760
O,1,9526.57,120,,,14.1003714,15.4018277,2s2.2p3.(2D*).3p,3F,2,2s2.2p3.(2D*<5/2>).3d,3F*,2,,,L3760
Ar,2,9526.65,0.5,,,23.514204395,24.81564826,3s2.3p4.(3P).5p,4D*,5/2,3s2.3p4.(3P).5d,4D,3/2,,,L14821
P,1,9528.34,1700,1.4e+07,D,6.9852271,8.2864403,3s2.3p2.(3P).4s,4P,5/2,3s2.3p2.(3P).4p,4S*,3/2,,"T1619CA,LS",L5148
Sc,2,9528.552,0,,,9.345073,10.64626,3p6.3d.4f,3F*,3,3p6.3d.(2D<5/2>).5g,2[5/2],3,,,L5141
He,1,9528.78,3*,3.3834e+03,AAA,[23.07365102990],[24.3748074487220],1s.3d,3D,3,1s.8f,3F*,2,,T8636c73,L8200
He,1,9528.78,3*,7.6127e+05,AAA,[23.07365102990],[24.3748073153049],1s.3d,3D,3,1s.8f,3F*,4,,T8636c73,L8200
He,1,9528.78,3*,6.4641e+04,AAA,[23.07365102990],[24.3748072401842],1s.3d,3D,3,1s.8f,3F*,3,,T8636c73,L8200
He,1,9528.78,3*,1.1839e+05,AAA,[23.07365134140],[24.3748074487220],1s.3d,3D,2,1s.8f,3F*,2,,T8636c73,L8200
He,1,9528.78,3*,5.2655e+05,AAA,[23.07365134140],[24.3748072401842],1s.3d,3D,2,1s.8f,3F*,3,,T8636c73,L8200
He,1,9528.78,3*,6.3946e+05,AAA,[23.07365682165],[24.3748074487220],1s.3d,3D,1,1s.8f,3F*,2,,T8636c73,L8200
Ar,2,9529.00,1,,,23.01454553,24.31566967,3s2.3p4.(3P).4d,4F,7/2,3s2.3p4.(3P<1>).4f,2[4]*,7/2,,,L14821
Ti,1,9529.285,4,,,3.8898563,5.19094329,3d3.(4F).4p,w 3G*,3,3d2.4s.(4F).4d,3G,3,,,L10989
Fe,2,9529.513,16,,,4.83702231,6.1380760,3d6.(5D).4p,z 6D*,3/2,3d6.(3P1).4s,c 4P,3/2,,,L18349c148
Fe,2,9529.7727,14bl(Fe II)*,2.5e+06,D+,9.9616418,11.2626611,3d6.(5D).5s,e 4D,1/2,3d6.(3P1).4p,4P*,1/2,,T6892c83,L18349c148
Fe,2,9529.7727,14bl(Fe II)*,,,11.6530493,12.9540682,3d5.(4G).4s.4p.(3P*),w 4G*,5/2,3d6.(3H).4d,2F,7/2,,,L18349c148
Fe,2,9530.1906,50,,,12.8458690,14.1468316,3d6.(3G).5s,e 2G,9/2,3d6.(3G).5p,4H*,11/2,,,L18349c139
S,2,9530.195,10w*,,,19.853453,21.154416,3s2.3p2.(3P<0>).4f,2[3]*,7/2,3s2.3p2.(3P<0>).5g,2[4],9/2,,,L5883
S,2,9530.195,10w*,,,19.892356,21.193318,3s2.3p2.(3P<1>).4f,2[4]*,9/2,3s2.3p2.(3P<1>).5g,2[5],11/2,,,L5883
Fe,1,9530.385,62,,,5.06378173,6.36471779,3d6.(5D).4s.4p.(1P*),x 5F*,3,3d6.(5D).4s (6D).4d,e 7G,4,,,L11631
O,1,9530.89,100,,,14.0996582,15.4005245,2s2.2p3.(2D*).3p,3F,3,2s2.2p3.(2D*<5/2>).3d,3F*,4,,,L3760
He,1,9531.88,1,5.8976e+05,AAA,[23.07407511941],[24.3748076533589],1s.3d,1D,2,1s.8f,1F*,3,,T8636c73,L366
Fe,1,9532.134,447,,,5.30458359,6.60528086,3d6.(3H).4s.4p.(3P*),y 5G*,6,3d7.(4F).4d,e 5H,7,,,L11631
Fe,2,9532.2917,40,2.18e+06,C+,11.3871409,12.6878163,3d6.(5D).5p,w 6P*,3/2,3d6.(5D).6s,6D,5/2,,T6892c83,L18349c139
Cr,1,9532.920,1,,,4.5326696,5.83326016,3d5.(2F2).4s,d 3F,2,3d5.(4G).4p,y 3G*,3,,,L14866
Fe,1,9533.890,28,,,5.06378173,6.36423934,3d6.(5D).4s.4p.(1P*),x 5F*,3,3d6.(5D).4s (6D).4d,e 7F,2,,,L11631
Fe,2,9534.4171,14,7.e+06,E,12.3883229,13.6887084,3d6.(3F2).5s,f 4F,3/2,3d6.(3F2).5p,4F*,3/2,,T6892c83,L18349c139
S,2,9534.696,6w,,,19.894782,21.195130,3s2.3p2.(3P<1>).4f,2[2]*,3/2,3s2.3p2.(3P<1>).5g,2[3],5/2,,,L5883
Fe,2,9535.4624,170bl(Fe I),6.5e+06,B+,9.7754140,11.0756571,3d6.(5D).5s,e 6D,1/2,3d6.(5D).5p,6D*,3/2,,T6892c83,L18349c148
Fe,1,9535.463,288,,,5.93068755,7.2309299,3d6.(3F2).4s.4p.(3P*),x 3G*,3,3d6.4s.(6D).7s,5D,4,,,L11631
Ti,1,9536.580,8,,,3.9041974,5.20428941,3d3.(4F).4p,w 3G*,4,3d2.4s.(4F).4d,3G,4,,,L10989
Ne,1,9536.7793,6100,5.18e+06,C+,18.72638145,20.02644523,2s2.2p5.(2P*<1/2>).3p,2[1/2],1,2s2.2p5.(2P*<3/2>).3d,2[1/2]*,1,,T6976,L9097
Fe,2,9536.7822,110bl(Ne),3.12e+06,B+,9.7002396,11.0002994,3d6.(5D).5s,e 6D,7/2,3d6.(5D).5p,6D*,9/2,,T6892c83,L18349c148
Ca,1,9537.50,10,,,,,,,,,,,,,L6097
Ar,2,9538.2707,34,,,23.514204395,24.814064898,3s2.3p4.(3P).5p,4D*,5/2,3s2.3p4.(1D).4d,2F,7/2,,,L11520
Fe,2,9538.799,1.3,,,12.8107881,14.1105768,3d6.(5D<3>).4f,2[5]*,11/2,3d6.(5D<2>).5g,2[5],11/2,,,L18349c139
Ti,1,9539.110,8,,,2.16028282,3.4600286,3d3.(2D2).4s,a 3D,2,3d2.(1D).4s.4p.(1P*),y 1D*,2,,,L10989
V,1,9539.15,2500bl?,,,3.2863193,4.58607445,3d4.(5D).4p,y 6D*,5/2,3d5,e 4F,5/2,,,L14162
S,2,9539.253,7,,,19.895436,21.195162,3s2.3p2.(3P<1>).4f,2[2]*,5/2,3s2.3p2.(3P<1>).5g,2[3],7/2,,,L5883
Fe,2,9539.276,2.4,,,12.7733903,14.0731127,3d6.(5D<4>).4f,2[2]*,5/2,3d6.(5D<3>).5g,2[2],5/2,,,L18349c139
Ne,2,9540.671,60,,,37.5967073,38.8962421,2s2.2p4.(3P).4d,2P,3/2,2s2.2p4.(3P<0>).5f,2[3]*,5/2,,,L1406
Fe,2,9541.270,2.9,,,12.8108465,14.1102948,3d6.(5D<3>).4f,2[4]*,9/2,3d6.(5D<2>).5g,2[4],9/2,,,L18349c145
Fe,2,9542.317,1.4,,,11.9466897,13.2459994,3d5.(4G).4s.4p.(3P*),t 2F*,7/2,3d5.(6S).4p2,8P,7/2,,,L18349c139
Fe,2,9542.825,2.1,,,11.5466334,12.8458690,3d6.(3F1).4p,4D*,7/2,3d6.(3G).5s,e 2G,9/2,,,L18349c145
V,1,9542.917,7400,,,2.57752139,3.8767492,3d4.(3D).4s,b 4D,5/2,3d3.(2G).4s.4p.(3P*),x 4F*,7/2,,,L15916
Ar,2,9543.2822,38,,,23.01454553,24.313723219,3s2.3p4.(3P).4d,4F,7/2,3s2.3p4.(3P<1>).4f,2[4]*,9/2,,,L11520
Fe,2,9543.6435,17,8.e+05,E,12.3597808,13.6589094,3d6.(3F2).5s,f 4F,7/2,3d6.(3F2).5p,4F*,9/2,,T6892c83,L18349c139
Sc,2,9544.282,0,,,9.347229,10.64626,3p6.3d.4f,3G*,4,3p6.3d.(2D<5/2>).5g,2[5/2],3,,,L5141
Fe,1,9544.598,27,,,4.58438864,5.88338708,3d7.(2F).4s,d 3F,3,3d7.(2G).4p,z 1G*,4,,,L11631
Fe,2,9544.8234,5bl(Fe II)*,,,12.7733903,14.0723585,3d6.(5D<4>).4f,2[2]*,5/2,3d6.(5D<3>).5g,2[3],7/2,,,L18349c148
Fe,2,9544.8234,5bl(Fe II)*,,,12.8928690,14.1918354,3d6.(5D<1>).4f,2[3]*,5/2,3d6.(5D).6d,114464,3/2,,,L18349c148
Fe,2,9546.0075,5bl(Fe I),,,11.5712658,12.8700712,3d6.(3F1).4p,u 4F*,3/2,3d6.(3P2).4d,4D,1/2,,,L18349c148
Fe,1,9546.009,22,,,5.00952178,6.30832866,3d6.(5D).4s.4p.(1P*),x 5D*,1,3d6.(5D).4s (6D).4d,f 5D,1,,,L11631
Fe,2,9546.3432,17bl(Fe II)*,,,12.8107881,14.1095509,3d6.(5D<3>).4f,2[5]*,11/2,3d6.(5D<2>).5g,2[6],11/2,,,L18349c148
Fe,2,9546.3432,17bl(Fe II)*,,,12.8108465,14.1096090,3d6.(5D<3>).4f,2[4]*,9/2,3d6.(5D<2>).5g,2[3],7/2,,,L18349c148
Fe,2,9546.3432,17bl(Fe II)*,,,12.8107881,14.1095483,3d6.(5D<3>).4f,2[5]*,11/2,3d6.(5D<2>).5g,2[6],13/2,,,L18349c148
Fe,2,9546.7594,5,,,12.8108465,14.1095509,3d6.(5D<3>).4f,2[4]*,9/2,3d6.(5D<2>).5g,2[6],11/2,,,L18349c139
