element,sp_num,obs_wl_vac(A),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref
Cr,1,3575.0525,22,,,2.70791527,6.1759542,3d5.(4P).4s,a 5P,3,3d5.(4D).4p,t 5P*,3,,,L14866
Fe,3,3575.174,12,,,11.217174,14.685094,3d5.(4F).4s,3F,4,3d5.(4G).4p,3F*,3,,,L1171
V,1,3575.191,13000bl,,,2.3589638,5.8268665&dagger;,3d4.(3F2).4s,a 2F,5/2,3d3.(2F).4s.4p.(3P*),s 2F*,5/2,,,L4235
Ne,2,3575.2030,200,1.0e+07,D,30.54897749,34.01687000,2s2.2p4.(1D).3s,2D,5/2,2s2.2p4.(1D).3p,2F*,5/2,,T867LS,L5951
Ti,1,3575.2602,14,,,2.2673677,5.7352050,3d3.(2G).4s,b 1G,4,3d2.4s.(2F).5p,u 1G*,4,,,L10989
Fe,1,3575.264,309bl,,,3.28302483,6.75085864,3d6.(5D).4s.4p.(3P*),z 5D*,1,3d7.(4F).4d,f 3D,1,,,L11631
V,2,3575.368,4100,1.23e+07,C+,2.3721639,5.83989528,3d3.(2P).4s,b 3P,2,3d3.(4P).4p,y 5D*,2,,T9616,L18516
Cr,1,3575.40,10H,,,3.16762385,6.6353643,3d4.(5D).4s.4p.(3P*),z 7F*,5,3d4.4s.4d,e 7G,6,,,L808
Ne,2,3575.63278,400,1.3e+08,D,30.54939418,34.01687000,2s2.2p4.(1D).3s,2D,3/2,2s2.2p4.(1D).3p,2F*,5/2,,T867LS,L5951
Ti,1,3575.687,6,,,1.9685072,5.43593108,3d2.(3F).4s.4p.(3P*),z 5G*,2,3d3.(4F).4d,f 5H,3,,,L10989
Sc,1,3575.748,3,,,2.0012291,5.468599,3d.4s.(3D).4p,4D*,5/2,3d.(2D).4p2.(3P),4P,3/2,,,L4189c12
V,1,3575.7885,120000,,,1.7996004,5.2669250,3d3.4s2,2D2,3/2,3d4.(3D).4p,v 2P*,1/2,,,L15916
Cr,1,3575.8203,40,,,2.70991379,6.17720772,3d5.(4P).4s,a 5P,1,3d4.(3P1).4s.4p.(3P*),y 5S*,2,,,L14866
O,2,3575.859,3,,,29.0622429,32.529492,2s2.2p2.(3P).3d,2D,3/2,2s2.2p2.(3P).5p,2P*,3/2,,,L10621
Ti,2,3575.9275,37,,,5.63786549,9.10505571,3d2.(3P).4p,y 2P*,1/2,3d2.(3P).5s,2P,1/2,,,u37
Cr,1,3575.9505,18,,,2.70878630,6.1759542,3d5.(4P).4s,a 5P,2,3d5.(4D).4p,t 5P*,3,,,L14866
Fe,1,3576.1340,2240,1.60e+07,B,2.88199261,6.34898259,3d6.(5D).4s.4p.(3P*),z 7F*,1,3d6.(5D).4s (6D).4d,e 7F,1,,T5720,L11631
V,1,3576.1498,100000,,,2.13030555,5.59727866,3d4.(3G).4s,a 4G,9/2,3d3.4s.(5F).5p,4G*,9/2,,,L15916
Fe,1,3576.2656,4370,7.43e+06,C+,2.83252676,6.29938878,3d6.(5D).4s.4p.(3P*),z 7F*,5,3d6.(5D).4s (6D).4d,f 7D,4,,T5720,L11631
Sc,1,3576.331,4,,,1.9870393,5.453837,3d.4s.(3D).4p,4F*,9/2,3d.4s.(3D).6s,4D,7/2,,,L4189c12
Fe,1,3576.3904,9300,3.06e+07,B,3.01725044,6.48399171,3d7.(2P).4s,c 3P,2,3d7.(2P).4p,u 3D*,2,,T5720,L11631
Fe,3,3576.654,19,,,11.218609,14.685094,3d5.(4F).4s,3F,3,3d5.(4G).4p,3F*,3,,,L1171
Ar,2,3576.7741,5bl,,,21.498049871,24.96441882,3s2.3p4.(1D).4p,2D*,5/2,3s2.3p4.(3P).5d,4F,5/2,,,L11520
V,2,3576.927,81,,,2.5569243,6.02315168,3d3.(2D2).4s,b 3D,3,3d3.(2G).4p,y 3G*,3,,,L10089c179
Fe,1,3576.9981,2750,,,2.87550352,6.34165661,3d6.(5D).4s.4p.(3P*),z 7F*,2,3d6.(5D).4s (6D).4d,e 5S,2,,,L11631
Sc,2,3577.361,12g,1.06e+08,B+,0.008396,3.474197,3p6.3d.4s,3D,2,3p6.3d.4p,3D*,2,,T5448,L5141
Mn,2,3577.443,5,,,4.9362771,8.4020145,3d5.(4D).4s,b 3D,2,3d5.(4G).4p,z 3F*,2,,,L562
Ti,4,3577.459,17,4.6e+08,D,28.630974,32.096667,3p6.5p,2P*,3/2,3p6.5d,2D,5/2,,T2757,"L2753,L11926"
Ar,2,3577.63636,12303,2.75e+08,B,19.549011775,23.01454553,3s2.3p4.(3P).4p,4D*,5/2,3s2.3p4.(3P).4d,4F,7/2,,T926,L11520
Ti,3,3577.72,3,,,16.025380,19.490832,3p6.3d.4d,1P,1,3p6.4s.4p,1P*,1,,,L3593
Fe,1,3577.7795,4790,8.8e+06,E,3.26711257,6.73250811,3d7.(2H).4s,b 3H,5,3d6.(3D).4s.4p.(3P*),5D*,4,,T2578n,L11631
Fe,10,3578.1,,6.2e+00,E,52.4199,55.8860,3s2.3p4.(3P).3d,4F,7/2,3s2.3p4.(1D).3d,2G,9/2,UT,T3238,L19611
V,2,3578.2454,1300,,,2.3757135,5.8406575,3d3.(2P).4s,b 3P,0,3d3.(4P).4p,z 3P*,1,,,L18516
P,3,3578.547,200,,,,,,,,,,,,,L4134
V,2,3578.662,1000,,,2.36970128,5.8342402,3d3.(2G).4s,b 1G,4,3d3.(2G).4p,z 3H*,4,,,L10089c179
V,2,3578.874,2600,,,2.3763202,5.8406575,3d3.(2P).4s,b 3P,1,3d3.(4P).4p,z 3P*,1,,,L10089c179
V,1,3578.8932,180000bl(V II),,,2.12223095,5.5865468,3d4.(3G).4s,a 4G,7/2,3d3.4s.(5F).5p,4G*,7/2,,,L15916
Mn,1,3578.90,1400,9.4e+07,D,2.114215,5.578535,3d6.(5D).4s,a 6D,9/2,3d6.(5D).4p,x 6P*,7/2,,T1117,L3475
Ne,2,3578.9986,140,,,34.81442056,38.2786348,2s2.2p4.(3P).3d,4F,5/2,2s2.2p4.(3P).5p,2P*,3/2,,,L5951
Cr,1,3579.2303,19,,,1.00367492,4.46766550,3d4.4s2,a 5D,3,3d4.(5D).4s.4p.(3P*),z 3F*,3,,,L14866
Ti,1,3579.277,10,,,1.46013860,4.9240869,3d3.(4F).4s,b 3F,4,3d3.(2D2).4p,s 3D*,3,,,L10989
Mg,3,3579.294,1,,,66.23207,69.69599,2s2.2p5.3d,3D*,1,2s2.2p5.(2P*<3/2>).4p,2[5/2],2,,,L1434
